destination,url
cloudbaseinit.msi,https://s3-us-west-1.amazonaws.com/clients.als.hpcloud.com/windows/cloud-init/2015_04_21_x64_beta/CloudbaseInitSetup_Beta_x64.msi
sdelete.zip,https://s3-us-west-1.amazonaws.com/clients.als.hpcloud.com/windows/cloud-init/sdelete.zip
pswindowsupdate.zip,https://gallery.technet.microsoft.com/scriptcenter/2d191bcd-3308-4edd-9de2-88dff796b0bc/file/41459/43/PSWindowsUpdate.zip
ultradefrag.zip,https://s3-us-west-1.amazonaws.com/clients.als.hpcloud.com/windows/cloud-init/ultra-defrag/ultradefrag-portable-6.0.2.bin.amd64.zip
